InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Status 	 NoLink	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceNumberOfEntries 	1	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.AllowedMACAddresses 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.AssociatedConnection 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalPoolNumberOfEntries 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPLeaseTime 	86400	1	xsd:int
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPOptionNumberOfEntries 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPRelay 	0	0	xsd:boolean
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPServerConfigurable 	1	1	xsd:boolean
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPServerEnable 	1	1	xsd:boolean
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DNSServers 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DomainName 	 Home	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1.Enable 	1	1	xsd:boolean
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1.IPInterfaceAddressingType 	 Static	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1.IPInterfaceIPAddress 	 192.168.1.1	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1.IPInterfaceSubnetMask 	 255.255.255.0	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterfaceNumberOfEntries 	1	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPRouters 	 192.168.1.1	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.MACAddress 	 8C:10:D4:30:FF:79	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.MaxAddress 	 192.168.1.254	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.MinAddress 	 192.168.1.2	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.PassthroughLease 	0	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.PassthroughMACAddress 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.ReservedAddresses 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.SubnetMask 	 255.255.255.0	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.UseAllocatedWAN 	 Normal	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.X_EXT_DNSMode 	 Auto	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANUSBInterfaceNumberOfEntries 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANWLANConfigurationNumberOfEntries 	4	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.1.AckPolicy 	1	1	xsd:boolean
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.1.AIFSN 	3	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.1.ECWMax 	6	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.1.ECWMin 	4	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.1.TXOP 	0	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.2.AckPolicy 	1	1	xsd:boolean
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.2.AIFSN 	7	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.2.ECWMax 	10	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.2.ECWMin 	4	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.2.TXOP 	0	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.3.AckPolicy 	1	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.3.AIFSN 	1	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.3.ECWMax 	4	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.3.ECWMin 	3	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.3.TXOP 	94	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.4.AckPolicy 	1	1	xsd:boolean
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.4.AIFSN 	1	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.4.ECWMax 	3	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.4.ECWMin 	2	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.APWMMParameter.4.TXOP 	47	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.AuthenticationServiceMode 	 None	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.AutoChannelEnable 	1	1	xsd:boolean
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.AutoRateFallBackEnabled 	1	1	xsd:boolean
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BasicAuthenticationMode 	 None	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BasicDataTransmitRates 	 1,2,5.5,11	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BasicEncryptionModes 	 None	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BeaconAdvertisementEnabled 	1	1	xsd:boolean
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BeaconType 	 WPAand11i	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BSSID 	 8c:10:d4:30:ff:79	0	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.Channel 	9	1	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.ChannelsInUse 	0	0	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.DeviceOperationMode 	 InfrastructureAccessPoint	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.Enable 	1	1	xsd:boolean
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.IEEE11iAuthenticationMode 	 PSKAuthentication	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.IEEE11iEncryptionModes 	 TKIPandAESEncryption	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.KeyPassphrase 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.LocationDescription 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.MACAddressControlEnabled 	0	1	xsd:boolean
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.MaxBitRate 	 Auto	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.Name 	 wlan0	0	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.OperationalDataTransmitRates 	 1,2,5.5,11,6,9,12,18,24,36,48,54	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PossibleChannels 	 1-13	0	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PossibleDataTransmitRates 	 1,2,5.5,11,6,9,12,18,24,36,48,54	0	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.1.AssociatedDeviceMACAddress 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.1.KeyPassphrase 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.1.PreSharedKey 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.10.AssociatedDeviceMACAddress 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.10.KeyPassphrase 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.10.PreSharedKey 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.2.AssociatedDeviceMACAddress 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.2.KeyPassphrase 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.2.PreSharedKey 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.3.AssociatedDeviceMACAddress 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.3.KeyPassphrase 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.3.PreSharedKey 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.4.AssociatedDeviceMACAddress 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.4.KeyPassphrase 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.4.PreSharedKey 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.5.AssociatedDeviceMACAddress 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.5.KeyPassphrase 	 undef	1	xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.5.PreSharedKey 	 undef	1	xsd:string
